GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
REST,robot,Robot,0,81,0,4,0,18,0,8,0,6
REST,robot,TitForTatBot,0,43,0,4,0,15,0,7,0,5
REST,robot,RemoteBot,11,72,2,0,2,19,1,5,0,5
REST,robot,AlwaysCooperateBot,0,25,0,0,0,8,0,4,0,4
REST,robot,HumanBot,23,37,0,2,5,11,2,4,2,3
REST,robot,AlwaysDefectBot,0,25,0,0,0,8,0,4,0,4
REST,server,NetworkedTournamentServer,5,172,0,8,2,32,1,10,1,6
REST,game,PrisonersDilemma,0,123,2,20,0,28,2,14,0,5
REST,game,Game,0,184,0,10,0,41,0,14,0,9
REST,client,NetworkedTournamentClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
REST,client,NetworkedTournamentClient,9,176,2,6,3,42,3,7,1,5
REST,tournament,Tournament,0,170,0,4,0,39,0,11,0,9
REST,tournament,History,0,21,0,0,0,1,0,1,0,1
REST,tournament,RoundRobinTournament,0,71,0,8,0,13,0,9,0,5
REST,game.listener,MoveListener,0,89,0,4,0,21,0,6,0,4
REST,game.listener,ScoreListener,0,91,0,4,0,21,0,6,0,4
